id,name,description,height,weight,category,overgrow,hp,attack,defense,specattack,specdefense,speed,type1,type2,weakness1,weakness2,weakness3,weakness4,weakness5,weakness6,weakness7
75,Graveler,"Rocks are Graveler's favorite food. This Pokemon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.","3' 03""",231.5,Rock,Rock Head,2,5,5,2,2,2,Rock, Ground,Grass, Water, Fighting, Ground, Ice, Steel,
76,Golem,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokemon's course.","4' 07""",661.4,Megaton,Rock Head,3,6,6,3,3,3,Rock, Ground,Grass, Water, Fighting, Ground, Ice, Steel,
77,Ponyta,Ponyta is very weak at birth. It can barely stand up. This Pokemon becomes stronger by stumbling and falling to keep up with its parent.,"3' 03""",66.1,Fire Horse,Run Away,2,4,3,3,3,5,Fire,,Ground, Rock, Water,,,,
78,Rapidash,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokemon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.","5' 07""",209.4,Fire Horse,Run Away,3,5,3,4,3,6,Fire,,Ground, Rock, Water,,,,
79,Slowpoke,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokemon often forgets what it's doing and often spends entire days just loafing at water's edge.","3' 11""",79.4,Dopey,Oblivious,4,3,3,2,2,1,Water, Psychic,Bug, Dark, Electric, Ghost, Grass,,
80,Slowbro,"Slowbro's tail has a Shellder firmly attached with a bite. As a result, the tail can't be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.","5' 03""",173.1,Hermit Crab,Oblivious,4,4,5,5,3,2,Water, Psychic,Bug, Dark, Electric, Ghost, Grass,,
81,Magnemite,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokemon becomes incapable of flight if its internal electrical supply is depleted.,"1' 00""",13.2,Magnet,Sturdy,1,2,3,5,2,3,Electric, Steel,Ground, Fire, Fighting,,,,
82,Magneton,"Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokemon inside a Poke Ball.","3' 03""",132.3,Magnet,Sturdy,2,3,4,6,3,4,Electric, Steel,Ground, Fire, Fighting,,,,
83,Farfetch'd,"Farfetch'd is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokemon has been known to fight with others over stalks.","2' 07""",33.1,Wild Duck,Keen Eye,2,3,3,3,3,3,Normal, Flying,Electric, Ice, Rock,,,,
84,Doduo,"Doduo's two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokemon possessing different sets of brains.","4' 07""",86.4,Twin Bird,Run Away,2,4,2,2,2,4,Normal, Flying,Electric, Ice, Rock,,,,
85,Dodrio,"Apparently, the heads aren't the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.","5' 11""",187.8,Triple Bird,Run Away,3,6,3,3,3,5,Normal, Flying,Electric, Ice, Rock,,,,
86,Seel,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.","3' 07""",198.4,Sea Lion,Thick Fat,3,2,3,2,3,3,Water,,Electric, Grass,,,,,
87,Dewgong,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokemon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,"5' 07""",264.6,Sea Lion,Thick Fat,4,4,4,3,4,4,Water, Ice,Electric, Fighting, Grass, Rock,,,
88,Grimer,Grimer emerged from the sludge that settled on a polluted seabed. This Pokemon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.,"2' 11""",66.1,Sludge,Stench,3,4,2,2,2,2,Poison,,Ground, Psychic,,,,,
89,Muk,"This Pokemon's favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.","3' 11""",66.1,Sludge,Stench,4,5,3,3,4,3,Poison,,Ground, Psychic,,,,,
90,Shellder,"At night, this Pokemon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.","1' 00""",8.8,Bivalve,Shell Armor,2,3,4,2,1,2,Water,,Electric, Grass,,,,,
91,Cloyster,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokemon shoots spikes from its shell using the same system.","4' 11""",292.1,Bivalve,Shell Armor,2,5,8,4,2,4,Water, Ice,Electric, Fighting, Grass, Rock,,,
92,Gastly,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokemon cluster under the eaves of houses to escape the ravages of wind.","4' 03""",0.2,Gas,Levitate,2,2,2,5,2,4,Ghost, Poison,Dark, Ghost, Psychic,,,,
93,Haunter,"Haunter is a dangerous Pokemon. If one beckons you while floating in darkness, you must never approach it. This Pokemon will try to lick you with its tongue and steal your life away.","5' 03""",0.2,Gas,Levitate,2,3,2,6,2,5,Ghost, Poison,Dark, Ghost, Psychic,,,,
94,Gengar,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.","4' 11""",89.3,Shadow,Levitate,3,3,3,6,3,6,Ghost, Poison,Dark, Ghost, Psychic,,,,
95,Onix,"Onix has a magnet in its brain. It acts as a compass so that this Pokemon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.","28' 10""",463,Rock Snake,Rock Head,2,2,7,1,2,4,Rock, Ground,Grass, Water, Fighting, Ground, Ice, Steel,
96,Drowzee,"If your nose becomes itchy while you are sleeping, it's a sure sign that one of these Pokemon is standing above your pillow and trying to eat your dream through your nostrils.","3' 03""",71.4,Hypnosis,Insomnia,3,3,2,2,4,2,Psychic,,Bug, Dark, Ghost,,,,
97,Hypno,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokemon searches for prey, it polishes the pendulum.","5' 03""",166.7,Hypnosis,Insomnia,3,4,3,4,5,4,Psychic,,Bug, Dark, Ghost,,,,
98,Krabby,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokemon can be seen squabbling with each other over territory.","1' 04""",14.3,River Crab,Shell Armor,2,5,4,1,1,3,Water,,Electric, Grass,,,,,
99,Kingler,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokemon quickly tires.","4' 03""",132.3,Pincer,Shell Armor,2,7,5,2,2,4,Water,,Electric, Grass,,,,,
100,Voltorb,Voltorb is extremely sensitive-it explodes at the slightest of shocks. It is rumored that it was first created when a Poke Ball was exposed to a powerful pulse of energy.,"1' 08""",22.9,Ball,Static,2,2,2,3,2,5,Electric,,Ground,,,,,,
101,Electrode,One of Electrode's characteristics is its attraction to electricity. It is a problematical Pokemon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,"3' 11""",146.8,Ball,Static,3,3,3,4,3,7,Electric,,Ground,,,,,,
102,Exeggcute,"This Pokemon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.","1' 04""",5.5,Egg,Chlorophyll,3,2,4,3,2,2,Grass, Psychic,Bug, Dark, Fire, Flying, Ghost, Ice, Poison
103,Exeggutor,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.","6' 07""",264.6,Coconut,Chlorophyll,4,5,4,6,3,3,Grass, Psychic,Bug, Dark, Fire, Flying, Ghost, Ice, Poison
104,Cubone,"Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokemon wears are made by the tears it sheds.","1' 04""",14.3,Lonely,Rock Head,2,3,4,2,2,2,Ground,,Grass, Ice, Water,,,,
105,Marowak,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokemon's tempered and hardened spirit is not easily broken.,"3' 03""",99.2,Bone Keeper,Rock Head,3,4,5,2,3,3,Ground,,Grass, Ice, Water,,,,
106,Hitmonlee,"Hitmonlee's legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.","4' 11""",109.8,Kicking,Limber,2,6,2,2,5,5,Fighting,,Flying, Psychic, Fairy,,,,
107,Hitmonchan,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokemon has an indomitable spirit and will never give up in the face of adversity.,"4' 07""",110.7,Punching,Keen Eye,2,5,3,2,5,4,Fighting,,Flying, Psychic, Fairy,,,,
108,Lickitung,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.","3' 11""",144.4,Licking,Oblivious,4,3,3,3,3,2,Normal,,Fighting,,,,,,
109,Koffing,"Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokemon.","2' 00""",2.2,Poison Gas,Levitate,2,3,4,3,2,2,Poison,,Psychic,,,,,,
110,Weezing,"Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokemon also becomes more putrid.","3' 11""",20.9,Poison Gas,Levitate,3,5,5,4,3,3,Poison,,Psychic,,,,,,
111,Rhyhorn,"Rhyhorn's brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.","3' 03""",253.5,Spikes,Rock Head,3,4,4,1,1,2,Ground, Rock,Grass, Water, Fighting, Ground, Ice, Steel,
112,Rhydon,"Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokemon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat.","6' 03""",264.6,Drill,Rock Head,4,7,5,2,2,2,Ground, Rock,Grass, Water, Fighting, Ground, Ice, Steel,
113,Chansey,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.","3' 07""",76.3,Egg,Natural Cure,9,1,1,2,4,3,Normal,,Fighting,,,,,,
114,Tangela,"Tangela's vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.","3' 03""",77.2,Vine,Chlorophyll,3,3,5,5,2,3,Grass,,Bug, Fire, Flying, Ice, Poison,,
115,Kangaskhan,"If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokemon's parent is sure to be in the area, and it will become violently enraged at you.","7' 03""",176.4,Parent,Early Bird,4,5,4,2,3,5,Normal,,Fighting,,,,,,
116,Horsea,"If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokemon swims by cleverly flapping the fin on its back.","1' 04""",17.6,Dragon,Swift Swim,2,2,3,3,1,3,Water,,Electric, Grass,,,,,
117,Seadra,"Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokemon weakens prey with these currents, then swallows it whole.","3' 11""",55.1,Dragon,Poison Point,2,3,4,5,2,5,Water,,Electric, Grass,,,,,
118,Goldeen,"Goldeen loves swimming wild and free in rivers and ponds. If one of these Pokemon is placed in an aquarium, it will shatter even the thickest glass with one ram of its horn and make its escape.","2' 00""",33.1,Goldfish,Swift Swim,2,4,3,2,2,3,Water,,Electric, Grass,,,,,
119,Seaking,Seaking is very protective of its eggs. The male and female will take turns patrolling around their nest and eggs. The guarding of eggs by these Pokemon goes on for over a month.,"4' 03""",86,Goldfish,Swift Swim,3,5,3,3,3,4,Water,,Electric, Grass,,,,,
120,Staryu,"Staryu apparently communicates with the stars in the night sky by flashing the red core at the center of its body. If parts of its body are torn, this Pokemon simply regenerates the missing pieces and limbs.","2' 07""",76.1,Star Shape,Natural Cure,2,2,3,3,2,5,Water,,Electric, Grass,,,,,
121,Starmie,Starmie swims through water by spinning its star-shaped body as if it were a propeller on a ship. The core at the center of this Pokemon's body glows in seven colors.,"3' 07""",176.4,Mysterious,Natural Cure,3,4,4,5,4,6,Water, Psychic,Bug, Dark, Electric, Ghost, Grass,,
122,Mr. Mime,"Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real.","4' 03""",120.1,Barrier,Soundproof,2,2,3,5,5,5,Psychic, Fairy,Ghost, Steel, Poison,,,,
123,Scyther,"Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokemon's scythes are so effective, they can slice through thick logs in one wicked stroke.","4' 11""",123.5,Mantis,Swarm,3,6,4,3,3,6,Bug, Flying,Rock, Electric, Fire, Flying, Ice,,
124,Jynx,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.","4' 07""",89.5,Human Shape,Oblivious,3,3,2,6,4,5,Ice, Psychic,Bug, Dark, Fire, Ghost, Rock, Steel,
125,Electabuzz,"When a storm arrives, gangs of this Pokemon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.","3' 07""",66.1,Electric,Static,3,4,3,5,4,6,Electric,,Ground,,,,,,
126,Magmar,"In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pokemon's fiery bursts create heat waves that ignite grass and trees in its surroundings.","4' 03""",98.1,Spitfire,Flame Body,3,5,3,5,4,5,Fire,,Ground, Rock, Water,,,,
127,Pinsir,"Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe's body when the pincer closes, making it tough for the foe to escape.","4' 11""",121.3,Stag Beetle,Hyper Cutter,3,6,4,3,3,5,Bug,,Fire, Flying, Rock,,,,
128,Tauros,"This Pokemon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.","4' 07""",194.9,Wild Bull,Intimidate,3,5,4,2,3,6,Normal,,Fighting,,,,,,
129,Magikarp,"Magikarp is virtually useless in battle as it can only splash around. As a result, it is considered to be weak. However, it is actually a very hardy Pokemon that can survive in any body of water no matter how polluted it is.","2' 11""",22,Fish,Swift Swim,1,1,3,1,1,4,Water,,Electric, Grass,,,,,
130,Gyarados,"Once Gyarados goes on a rampage, its ferociously violent blood doesn't calm until it has burned everything down. There are records of this Pokemon's rampages lasting a whole month.","21' 04""",518.1,Atrocious,Intimidate,4,6,3,3,4,4,Water, Flying,Electric, Rock,,,,,
131,Lapras,"People have driven Lapras almost to the point of extinction. In the evenings, this Pokemon is said to sing plaintively as it seeks what few others of its kind still remain.","8' 02""",485,Transport,Water Absorb,5,4,4,4,4,3,Water, Ice,Electric, Fighting, Grass, Rock,,,
132,Ditto,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pokemon manages to get details wrong.","1' 00""",8.8,Transform,Limber,2,3,2,2,2,3,Normal,,Fighting,,,,,,
133,Eevee,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pokemon to evolve.,"1' 00""",14.3,Evolution,Run Away,2,3,2,2,3,3,Normal,,Fighting,,,,,,
134,Vaporeon,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pokemon has the ability to freely control water.,"3' 03""",63.9,Bubble Jet,Water Absorb,5,3,3,5,4,4,Water,,Electric, Grass,,,,,
135,Jolteon,"Jolteon's cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pokemon to drop thunderbolts. The bristling fur is made of electrically charged needles.","2' 07""",54,Lightning,Volt Absorb,3,3,3,5,4,7,Electric,,Ground,,,,,,
136,Flareon,"Flareon's fluffy fur has a functional purpose-it releases heat into the air so that its body does not get excessively hot. This Pokemon's body temperature can rise to a maximum of 1,650 degrees Fahrenheit.","2' 11""",55.1,Flame,Flash Fire,3,7,3,5,5,4,Fire,,Ground, Rock, Water,,,,
137,Porygon,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pokemon is copy protected so it cannot be duplicated by copying.,"2' 07""",80.5,Virtual,Trace,3,3,3,4,3,2,Normal,,Fighting,,,,,,
138,Omanyte,"Omanyte is one of the ancient and long-since-extinct Pokemon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.","1' 04""",16.5,Spiral,Shell Armor,2,2,4,4,2,2,Rock, Water,Grass, Electric, Fighting, Ground,,,
139,Omastar,"Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous.","3' 03""",77.2,Spiral,Shell Armor,3,3,5,6,3,3,Rock, Water,Grass, Electric, Fighting, Ground,,,
140,Kabuto,"Kabuto is a Pokemon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokemon has not changed at all for 300 million years.","1' 08""",25.4,Shellfish,Swift Swim,2,4,4,3,2,3,Rock, Water,Grass, Electric, Fighting, Ground,,,
141,Kabutops,Kabutops swam underwater to hunt for its prey in ancient times. The Pokemon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.,"4' 03""",89.3,Shellfish,Swift Swim,3,6,5,3,3,4,Rock, Water,Grass, Electric, Fighting, Ground,,,
142,Aerodactyl,Aerodactyl is a Pokemon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,"5' 11""",130.1,Fossil,Rock Head,3,5,3,3,3,7,Rock, Flying,Electric, Ice, Rock, Steel, Water,,
143,Snorlax,Snorlax's typical day consists of nothing more than eating and sleeping. It is such a docile Pokemon that there are children who use its expansive belly as a place to play.,"6' 11""",1014.1,Sleeping,Thick Fat,6,6,3,3,5,2,Normal,,Fighting,,,,,,
144,Articuno,"Articuno is a legendary bird Pokemon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokemon flies, snow will fall.","5' 07""",122.1,Freeze,Pressure,4,4,4,5,5,5,Ice, Flying,Rock, Electric, Fire, Steel,,,
145,Zapdos,Zapdos is a legendary bird Pokemon that has the ability to control electricity. It usually lives in thunderclouds. The Pokemon gains power if it is stricken by lightning bolts.,"5' 03""",116,Electric,Pressure,4,5,4,6,4,5,Electric, Flying,Ice, Rock,,,,,
146,Moltres,"Moltres is a legendary bird Pokemon that has the ability to control fire. If this Pokemon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.","6' 07""",132.3,Flame,Pressure,4,5,4,6,4,5,Fire, Flying,Rock, Electric, Water,,,,
147,Dratini,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,"5' 11""",7.3,Dragon,Shed Skin,2,3,2,2,2,3,Dragon,,Dragon, Ice, Fairy,,,,
148,Dragonair,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.,"13' 01""",36.4,Dragon,Shed Skin,3,4,3,3,3,4,Dragon,,Dragon, Ice, Fairy,,,,
149,Dragonite,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokemon that leads lost and foundering ships in a storm to the safety of land.,"7' 03""",463,Dragon,Inner Focus,4,7,4,5,4,4,Dragon, Flying,Ice, Dragon, Rock, Fairy,,,
150,Mewtwo,"Mewtwo is a Pokemon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokemon's body, they failed to endow Mewtwo with a compassionate heart.","6' 07""",269,Genetic,Pressure,4,6,4,8,4,7,Psychic,,Bug, Dark, Ghost,,,,
